,ast,blk,fg3_pct,fg_pct,ft_pct,g,losses,orb,pf,pts,school_name,stl,tov,trb,win_loss_pct,wins
273,460,140,.327,.452,.711,34,17,430,664,2549,Siena,199,476,1284,.500,17
274,408,119,.318,.427,.655,32,18,333,653,2286,South Alabama,240,419,1108,.438,14
275,380,64,.320,.431,.691,31,20,320,594,2167,South Carolina State,154,383,991,.355,11
276,508,104,.346,.458,.657,33,16,396,545,2575,South Carolina Upstate,179,421,1279,.515,17
277,468,142,.338,.421,.699,37,11,464,751,2707,South Carolina NCAA,288,480,1346,.703,26
278,459,83,.360,.455,.771,35,17,316,584,2683,South Dakota State NCAA,180,453,1229,.514,18
279,415,115,.341,.444,.705,34,12,355,657,2639,South Dakota,231,402,1268,.647,22
280,365,115,.346,.425,.657,30,23,328,579,1945,South Florida,183,489,1053,.233,7
281,454,63,.367,.449,.742,33,18,289,644,2460,Southeast Missouri State,248,410,1024,.455,15
282,455,106,.363,.450,.683,32,16,384,619,2268,Southeastern Louisiana,218,512,1154,.500,16
283,550,190,.362,.456,.741,36,10,387,571,2816,Southern California NCAA,252,398,1286,.722,26
284,305,85,.292,.407,.677,30,24,353,657,2044,SIU Edwardsville,142,436,1073,.200,6
285,375,128,.316,.433,.696,33,16,348,594,2260,Southern Illinois,225,398,1114,.515,17
286,566,117,.406,.473,.697,35,5,416,506,2599,Southern Methodist NCAA,200,377,1335,.857,30
287,376,64,.305,.399,.707,31,22,258,527,1952,Southern Mississippi,145,405,1058,.290,9
288,381,107,.357,.407,.741,33,27,383,803,2559,Southern Utah,185,452,1218,.182,6
289,384,121,.320,.437,.696,33,18,405,635,2360,Southern,184,453,1247,.455,15
290,423,138,.348,.443,.769,32,12,369,668,2459,St. Bonaventure,230,401,1153,.625,20
291,287,89,.279,.347,.649,31,27,390,672,1921,St. Francis (NY),208,379,1078,.129,4
292,446,197,.364,.433,.726,33,19,337,688,2534,St. John's (NY),224,433,1137,.424,14
293,421,79,.320,.440,.682,31,17,316,604,2162,Stanford,211,399,1067,.452,14
294,409,100,.319,.446,.721,33,15,378,716,2289,Stephen F. Austin,223,578,1147,.545,18
295,436,71,.339,.441,.659,32,21,274,608,2471,Stetson,155,362,1128,.344,11
296,391,102,.327,.404,.721,32,14,358,622,2215,Stony Brook,174,325,1108,.563,18
297,532,159,.379,.458,.739,34,15,363,542,2594,Syracuse,275,418,1183,.559,19
298,464,128,.356,.422,.723,32,16,320,584,2269,Temple,208,365,1096,.500,16
